"export-plot data (NetLogo 6.2.2)"
"exp-growth.nlogo"
"01/22/2022 17:22:55:826 -0500"

"MODEL SETTINGS"
"r","v","dt"
"1","1","0.01"

"""Density"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","153","true","""nexact""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""pop""","true","0","1","55","10"
"""nexact""","true","0","1","0","10"

"""pop""",,,,"""nexact"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","55","true","0","100","0","true"
"0.01","100","55","true","0.01","100","0","true"
"0.02","102","55","true","0.02","100","0","true"
"0.03","104","55","true","0.03","100","0","true"
"0.04","103","55","true","0.04","100","0","true"
"0.05","103","55","true","0.05","100","0","true"
"0.06","105","55","true","0.06","100","0","true"
"0.07","105","55","true","0.07","100","0","true"
"0.08","104","55","true","0.08","100","0","true"
"0.09","102","55","true","0.09","100","0","true"
"0.1","103","55","true","0.1","100","0","true"
"0.11","102","55","true","0.11","100","0","true"
"0.12","102","55","true","0.12","100","0","true"
"0.13","101","55","true","0.13","100","0","true"
"0.14","99","55","true","0.14","100","0","true"
"0.15","98","55","true","0.15","100","0","true"
"0.16","98","55","true","0.16","100","0","true"
"0.17","96","55","true","0.17","100","0","true"
"0.18","99","55","true","0.18","100","0","true"
"0.19","98","55","true","0.19","100","0","true"
"0.2","95","55","true","0.2","100","0","true"
"0.21","95","55","true","0.21","100","0","true"
"0.22","96","55","true","0.22","100","0","true"
"0.23","94","55","true","0.23","100","0","true"
"0.24","91","55","true","0.24","100","0","true"
"0.25","89","55","true","0.25","100","0","true"
"0.26","89","55","true","0.26","100","0","true"
"0.27","89","55","true","0.27","100","0","true"
"0.28","88","55","true","0.28","100","0","true"
"0.29","87","55","true","0.29","100","0","true"
"0.3","88","55","true","0.3","100","0","true"
"0.31","88","55","true","0.31","100","0","true"
"0.32","89","55","true","0.32","100","0","true"
"0.33","89","55","true","0.33","100","0","true"
"0.34","89","55","true","0.34","100","0","true"
"0.35000000000000003","89","55","true","0.35000000000000003","100","0","true"
"0.36","89","55","true","0.36","100","0","true"
"0.37","90","55","true","0.37","100","0","true"
"0.38","90","55","true","0.38","100","0","true"
"0.39","86","55","true","0.39","100","0","true"
"0.4","88","55","true","0.4","100","0","true"
