"export-plot data (NetLogo 6.2.2)"
"spatial-growth.nlogo"
"01/23/2022 13:00:57:725 -0500"

"MODEL SETTINGS"
"r","dt"
"2.5","0.01"

"""Density"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10000","false","""nexact""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""pop""","true","0","1","55","10"
"""nexact""","true","0","1","0","10"

"""pop""",,,,"""nexact"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","55","true","0","100","0","true"
"0.01","101","55","true","0.01","101.48574378484865","0","true"
"0.02","103","55","true","0.02","102.99317657546838","0","true"
"0.03","107","55","true","0.03","104.52260346171451","0","true"
"0.04","112","55","true","0.04","106.07433348021068","0","true"
"0.05","114","55","true","0.05","107.6486796549835","0","true"
"0.06","112","55","true","0.06","109.24595903818587","0","true"
"0.07","114","55","true","0.07","110.86649275089638","0","true"
"0.08","115","55","true","0.08","112.51060602398182","0","true"
"0.09","117","55","true","0.09","114.1786282390096","0","true"
"0.1","118","55","true","0.1","115.87089296919632","0","true"
"0.11","116","55","true","0.11","117.58773802037751","0","true"
"0.12","117","55","true","0.12","119.32950547198412","0","true"
"0.13","118","55","true","0.13","121.09654171800976","0","true"
"0.14","120","55","true","0.14","122.88919750795269","0","true"
"0.15","119","55","true","0.15","124.70782798771565","0","true"
"0.16","122","55","true","0.16","126.55279274044636","0","true"
"0.17","126","55","true","0.17","128.4244558273004","0","true"
"0.18","127","55","true","0.18","130.3231858281078","0","true"
"0.19","131","55","true","0.19","132.24935588192434","0","true"
"0.2","133","55","true","0.2","134.20334372744702","0","true"
"0.21","135","55","true","0.21","136.18553174327337","0","true"
"0.22","138","55","true","0.22","138.19630698798306","0","true"
"0.23","138","55","true","0.23","140.2360612400195","0","true"
"0.24","140","55","true","0.24","142.30519103734883","0","true"
"0.25","139","55","true","0.25","144.40409771687237","0","true"
"0.26","139","55","true","0.26","146.5331874535683","0","true"
"0.27","140","55","true","0.27","148.69287129933704","0","true"
"0.28","142","55","true","0.28","150.88356522152486","0","true"
"0.29","142","55","true","0.29","153.10569014109802","0","true"
"0.3","139","55","true","0.3","155.3596719704409","0","true"
"0.31","139","55","true","0.31","157.64594165074828","0","true"
"0.32","142","55","true","0.32","159.96493518898305","0","true"
"0.33","144","55","true","0.33","162.3170936943694","0","true"
"0.34","146","55","true","0.34","164.70286341438916","0","true"
"0.35000000000000003","147","55","true","0.35000000000000003","167.1226957702502","0","true"
"0.36","151","55","true","0.36","169.57704739179303","0","true"
"0.37","155","55","true","0.37","172.0663801518019","0","true"
"0.38","156","55","true","0.38","174.59116119968562","0","true"
"0.39","161","55","true","0.39","177.15186299449107","0","true"
"0.4","163","55","true","0.4","179.74896333721375","0","true"
"0.41000000000000003","168","55","true","0.41000000000000003","182.38294540236592","0","true"
"0.42","173","55","true","0.42","185.05429776876431","0","true"
"0.43","174","55","true","0.43","187.76351444949637","0","true"
"0.44","179","55","true","0.44","190.51109492102464","0","true"
"0.45","183","55","true","0.45","193.29754415138598","0","true"
"0.46","188","55","true","0.46","196.12337262744305","0","true"
"0.47000000000000003","191","55","true","0.47000000000000003","198.9890963811427","0","true"
"0.48","193","55","true","0.48","201.89523701473615","0","true"
"0.49","193","55","true","0.49","204.84232172491414","0","true"
"0.5","192","55","true","0.5","207.8308833258082","0","true"
"0.51","194","55","true","0.51","210.8614602708096","0","true"
"0.52","195","55","true","0.52","213.93459667315548","0","true"
"0.53","200","55","true","0.53","217.05084232523052","0","true"
"0.54","205","55","true","0.54","220.21075271653058","0","true"
"0.55","207","55","true","0.55","223.41488905023576","0","true"
"0.56","212","55","true","0.56","226.6638182583361","0","true"
"0.5700000000000001","212","55","true","0.5700000000000001","229.95811301525416","0","true"
"0.58","213","55","true","0.58","233.2983517499065","0","true"
"0.59","216","55","true","0.59","236.68511865614502","0","true"
"0.6","215","55","true","0.6","240.11900370151756","0","true"
"0.61","220","55","true","0.61","243.60060263428687","0","true"
"0.62","220","55","true","0.62","247.13051698864348","0","true"
"0.63","225","55","true","0.63","250.70935408805053","0","true"
"0.64","227","55","true","0.64","254.33772704665276","0","true"
"0.65","225","55","true","0.65","258.0162547686843","0","true"
"0.66","230","55","true","0.66","261.7455619458066","0","true"
