"export-plot data (NetLogo 6.2.2)"
"logistic-growth.nlogo"
"01/22/2022 20:13:15:373 -0500"

"MODEL SETTINGS"
"r","dt"
"7.5","0.01"

"""Density"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10000","false","""nexact""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""pop""","true","0","1","55","10"
"""nexact""","true","0","1","0","10"

"""pop""",,,,"""nexact"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","55","true","0","100","0","true"
"0.01","103","55","true","0.01","106.63327105629192","0","true"
"0.02","109","55","true","0.02","113.70070504326188","0","true"
"0.03","113","55","true","0.03","121.22992018312657","0","true"
"0.04","120","55","true","0.04","129.2501824986055","0","true"
"0.05","117","55","true","0.05","137.79248915245384","0","true"
"0.06","123","55","true","0.06","146.88965388377238","0","true"
"0.07","135","55","true","0.07","156.57639425591802","0","true"
"0.08","142","55","true","0.08","166.88942036453292","0","true"
"0.09","154","55","true","0.09","177.8675245792372","0","true"
"0.1","164","55","true","0.1","189.5516718081412","0","true"
"0.11","172","55","true","0.11","201.98508967979672","0","true"
"0.12","179","55","true","0.12","215.21335793180666","0","true"
"0.13","188","55","true","0.13","229.28449617837202","0","true"
"0.14","199","55","true","0.14","244.24904909997886","0","true"
"0.15","212","55","true","0.15","260.1601679567162","0","true"
"0.16","222","55","true","0.16","277.0736871720306","0","true"
"0.17","238","55","true","0.17","295.0481945659105","0","true"
"0.18","252","55","true","0.18","314.14509363567703","0","true"
"0.19","256","55","true","0.19","334.42865608917265","0","true"
"0.2","273","55","true","0.2","355.9660626300334","0","true"
"0.21","290","55","true","0.21","378.8274297792583","0","true"
"0.22","311","55","true","0.22","403.0858202933754","0","true"
"0.23","335","55","true","0.23","428.8172345098106","0","true"
"0.24","353","55","true","0.24","456.10057971804827","0","true"
"0.25","368","55","true","0.25","485.0176144252437","0","true"
"0.26","395","55","true","0.26","515.6528641625948","0","true"
"0.27","420","55","true","0.27","548.0935052706608","0","true"
"0.28","452","55","true","0.28","582.4292129159146","0","true"
"0.29","480","55","true","0.29","618.7519694365009","0","true"
"0.3","527","55","true","0.3","657.1558290032692","0","true"
"0.31","556","55","true","0.31","697.7366345250065","0","true"
"0.32","593","55","true","0.32","740.5916827381812","0","true"
"0.33","634","55","true","0.33","785.8193335165822","0","true"
"0.34","689","55","true","0.34","833.5185596313025","0","true"
"0.35000000000000003","731","55","true","0.35000000000000003","883.7884335037793","0","true"
"0.36","780","55","true","0.36","936.7275479416287","0","true"
"0.37","850","55","true","0.37","992.4333684463159","0","true"
"0.38","899","55","true","0.38","1051.0015154497717","0","true"
"0.39","949","55","true","0.39","1112.524975788725","0","true"
"0.4","990","55","true","0.4","1177.093243872508","0","true"
"0.41000000000000003","1061","55","true","0.41000000000000003","1244.791394350101","0","true"
"0.42","1115","55","true","0.42","1315.699089637269","0","true"
"0.43","1175","55","true","0.43","1389.8895274197512","0","true"
"0.44","1230","55","true","0.44","1467.428335189958","0","true"
"0.45","1299","55","true","0.45","1548.372420978728","0","true"
"0.46","1379","55","true","0.46","1632.768791675169","0","true"
"0.47000000000000003","1450","55","true","0.47000000000000003","1720.6533526387623","0","true"
"0.48","1518","55","true","0.48","1812.049704637958","0","true"
"0.49","1590","55","true","0.49","1906.967956424586","0","true"
"0.5","1683","55","true","0.5","2005.4035733874412","0","true"
"0.51","1771","55","true","0.51","2107.3362846246373","0","true"
"0.52","1840","55","true","0.52","2212.729072328082","0","true"
"0.53","1930","55","true","0.53","2321.5272684760735","0","true"
"0.54","2032","55","true","0.54","2433.657784373382","0","true"
"0.55","2135","55","true","0.55","2549.028498460939","0","true"
"0.56","2233","55","true","0.56","2667.527826950838","0","true"
"0.5700000000000001","2320","55","true","0.5700000000000001","2789.0245001584535","0","true"
"0.58","2422","55","true","0.58","2913.36756486062","0","true"
"0.59","2538","55","true","0.59","3040.3866295988323","0","true"
"0.6","2650","55","true","0.6","3169.8923655997446","0","true"
"0.61","2778","55","true","0.61","3301.6772709745715","0","true"
"0.62","2906","55","true","0.62","3435.516700199979","0","true"
"0.63","3043","55","true","0.63","3571.1701547339026","0","true"
"0.64","3173","55","true","0.64","3708.3828241757606","0","true"
